District,County,Sub-County,Parish,Village
Abim,Labwor County,Abim,Abongepach,VillageAbongepach
Abim,Labwor County,Abim,Abongepach,VillageAmita Prison
Abim,Labwor County,Abim,Abongepach,VillageAmonicek
Abim,Labwor County,Abim,Abongepach,VillageArembwola  North
Abim,Labwor County,Abim,Abongepach,VillageArembwola West
Abim,Labwor County,Abim,Abongepach,VillageGang-lengo
Abim,Labwor County,Abim,Abongepach,VillageObangangeo
Abim,Labwor County,Abim,Adwal,VillageAdwal Central
Abim,Labwor County,Abim,Adwal,VillageAdwal East
Abim,Labwor County,Abim,Adwal,VillageAdwal North
Abim,Labwor County,Abim,Adwal,VillageAdwal West
Abim,Labwor County,Abim,Adwal,VillageAnukunam
Abim,Labwor County,Abim,Adwal,VillageAweireng
Abim,Labwor County,Abim,Adwal,VillageGiligili
Abim,Labwor County,Abim,Adwal,VillageKamurono
Abim,Labwor County,Abim,Adwal,VillageOmunga
Abim,Labwor County,Abim,Aninata,VillageAdagkolo
Abim,Labwor County,Abim,Aninata,VillageAjukuna
Abim,Labwor County,Abim,Aninata,VillageAninata Central
Abim,Labwor County,Abim,Aninata,VillageAninata East
Abim,Labwor County,Abim,Aninata,VillageAninata North
Abim,Labwor County,Abim,Aninata,VillageAninata South
Abim,Labwor County,Abim,Aninata,VillageAninata West
Abim,Labwor County,Abim,Arembwola,VillageAluga
Abim,Labwor County,Abim,Arembwola,VillageAmita Prison
Abim,Labwor County,Abim,Arembwola,VillageAmonicek
Abim,Labwor County,Abim,Arembwola,VillageArembwola  North
Abim,Labwor County,Abim,Arembwola,VillageArembwola  South
Abim,Labwor County,Abim,Arembwola,VillageArembwola Central
Abim,Labwor County,Abim,Arembwola,VillageArembwola East
Abim,Labwor County,Abim,Arembwola,VillageOyompolo
Abim,Labwor County,Abim,Atunga,VillageApelkere
Abim,Labwor County,Abim,Atunga,VillageAtugo
Abim,Labwor County,Abim,Atunga,VillageKopo
Abim,Labwor County,Abim,Atunga,VillageOryeotyene  East
Abim,Labwor County,Abim,Atunga,VillageOryeotyene North
Abim,Labwor County,Abim,Atunga,VillageOryeotyene South
Abim,Labwor County,Abim,Atunga,VillageOtalabar  East
Abim,Labwor County,Abim,Atunga,VillageOtalabar Central
Abim,Labwor County,Abim,Atunga,VillageOtalabar Newline
Abim,Labwor County,Abim,Atunga,VillageOtalabar Trading Centre
Abim,Labwor County,Abim,Atunga,VillageOtalabar West
Abim,Labwor County,Abim,Kanu,VillageAngica
Abim,Labwor County,Abim,Kanu,VillageApelkori
Abim,Labwor County,Abim,Kanu,VillageAroo
Abim,Labwor County,Abim,Kanu,VillageAroo West
Abim,Labwor County,Abim,Kanu,VillageGeregere East
Abim,Labwor County,Abim,Kanu,VillageGeregere North
Abim,Labwor County,Abim,Kanu,VillageGeregere South
Abim,Labwor County,Abim,Kanu,VillageObokoloth
Abim,Labwor County,Abim,Kanu,VillageObworo
Abim,Labwor County,Abim,Oima,VillageAjwok-odinyo
Abim,Labwor County,Abim,Oima,VillageApelkori
Abim,Labwor County,Abim,Oima,VillageGeregere North
Abim,Labwor County,Abim,Oima,VillageGeregere South
Abim,Labwor County,Abim,Oima,VillageKachungo
Abim,Labwor County,Abim,Oima,VillageObworo
Abim,Labwor County,Abim,Oima,VillageRiamiriam
Abim,Labwor County,Abim Town Council,Agwata Ward,VillageAbim Hospital
Abim,Labwor County,Abim Town Council,Agwata Ward,VillageAywee North
Abim,Labwor County,Abim Town Council,Agwata Ward,VillageEntebbe
Abim,Labwor County,Abim Town Council,Agwata Ward,VillageYenglemi West
Abim,Labwor County,Abim Town Council,Angwee Ward,VillageAngwee North
Abim,Labwor County,Abim Town Council,Angwee Ward,VillageAngwee South
Abim,Labwor County,Abim Town Council,Angwee Ward,VillageYenglemi East
Abim,Labwor County,Abim Town Council,Angwee Ward,VillageYenglemi North
Abim,Labwor County,Abim Town Council,Kalakala Ward,VillageAkado Central
Abim,Labwor County,Abim Town Council,Kalakala Ward,VillageAkado East
Abim,Labwor County,Abim Town Council,Kalakala Ward,VillageAkado South
Abim,Labwor County,Abim Town Council,Kalakala Ward,VillageAkado West
Abim,Labwor County,Abim Town Council,Kalakala Ward,VillageAywee East
Abim,Labwor County,Abim Town Council,Kalakala Ward,VillageAywee Model Village
Abim,Labwor County,Abim Town Council,Kalakala Ward,VillageAywee South
Abim,Labwor County,Abim Town Council,Kalakala Ward,VillageAywee West
Abim,Labwor County,Abim Town Council,Kalakala Ward,VillageRiamiriam
Abim,Labwor County,Abim Town Council,Kiru Ward,VillageAlula
Abim,Labwor County,Abim Town Council,Kiru Ward,VillageMission
Abim,Labwor County,Abim Town Council,Kiru Ward,VillageNyikinyiki
Abim,Labwor County,Abim Town Council,Kiru Ward,VillageObangangeo East
Abim,Labwor County,Abim Town Council,Kiru Ward,VillageObangangeo North
Abim,Labwor County,Abim Town Council,Kiru Ward,VillageObangangeo South
Abim,Labwor County,Abim Town Council,Kiru Ward,VillageObangangeo West
Abim,Labwor County,Abim Town Council,Kiru Ward,VillageOyaro North
Abim,Labwor County,Abim Town Council,Oringowelo Ward,VillageAting North
Abim,Labwor County,Abim Town Council,Oringowelo Ward,VillageAting South
Abim,Labwor County,Abim Town Council,Oringowelo Ward,VillageDagaronya
Abim,Labwor County,Abim Town Council,Oringowelo Ward,VillageOringowelo
Abim,Labwor County,Abim Town Council,Oringowelo Ward,VillageWicere
Abim,Labwor County,Abim Town Council,Oyaro Ward,VillageAbongedero
Abim,Labwor County,Abim Town Council,Oyaro Ward,VillageAbuk
Abim,Labwor County,Abim Town Council,Oyaro Ward,VillageAcharaethe
Abim,Labwor County,Abim Town Council,Oyaro Ward,VillageAcharaethe East
Abim,Labwor County,Abim Town Council,Oyaro Ward,VillageAroo
Abim,Labwor County,Abim Town Council,Oyaro Ward,VillageOliabong
Abim,Labwor County,Abim Town Council,Oyaro Ward,VillageOmoru
Abim,Labwor County,Abim Town Council,Oyaro Ward,VillageOrum
Abim,Labwor County,Abim Town Council,Oyaro Ward,VillageOyaro Central
Abim,Labwor County,Abim Town Council,Oyaro Ward,VillageOyaro East
Abim,Labwor County,Abim Town Council,Oyaro Ward,VillageOyaro South
Abim,Labwor County,Abim Town Council,Oyaro Ward,VillageOyaro Triangle
Abim,Labwor County,Abim Town Council,Oyaro Ward,VillageOyaro West
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageAbim Central
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageAbim East
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageAbim Hospital
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageAbim North
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageAbim West
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageAngwee North
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageAngwee South
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageAting North
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageAting South
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageAtwilo
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageAywee North
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageDagaronya
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageEntebbe
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageOringowelo
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageWicere
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageYenglemi East
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageYenglemi North
Abim,Labwor County,Abim Town Council,Wiawer Ward,VillageYenglemi West
Abim,Labwor County,Alerek,Kathimongor,VillageAcanpenino
Abim,Labwor County,Alerek,Kathimongor,VillageKagurui
Abim,Labwor County,Alerek,Kathimongor,VillageKathimongor
Abim,Labwor County,Alerek,Kathimongor,VillageKecokela
Abim,Labwor County,Alerek,Kathimongor,VillageKotido
Abim,Labwor County,Alerek,Kathimongor,VillageRibocing
Abim,Labwor County,Alerek,Kathimongor,VillageTyenopobo North
Abim,Labwor County,Alerek,Kathimongor,VillageTyenopobo South
Abim,Labwor County,Alerek,Kulodwong,VillageAcanpenino
Abim,Labwor County,Alerek,Kulodwong,VillageAringobom East
